Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
SULAWESI UTARA,BOLAANG MONGONDOW,BILALANG,BILALANG III UTARA,TPS 004,138,140,9,128,13,https://sirekap-obj-formc.kpu.go.id/5155/pemilu/ppwp/71/01/32/20/06/7101322006004-20240214-223711--630296b4-c36f-4f60-92ab-6b6199b09645.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,BILALANG,TUDU AOG BARU,TPS 001,241,245,45,200,35,https://sirekap-obj-formc.kpu.go.id/d272/pemilu/ppwp/71/01/32/20/04/7101322004001-20240217-000126--5b7abdcb-c1b8-455a-a381-762234a7ba1f.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,BOLAANG,BANGOMULUNOW,TPS 003,234,234,30,191,12,https://sirekap-obj-formc.kpu.go.id/9742/pemilu/ppwp/71/01/13/20/04/7101132004003-20240215-060936--e7e8dbca-d278-4cc3-aa51-aaa30f100223.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,BOLAANG TIMUR,LOLAN,TPS 002,163,165,6,149,7,https://sirekap-obj-formc.kpu.go.id/b9b5/pemilu/ppwp/71/01/31/20/06/7101312006002-20240215-125506--aeeaae74-b814-416a-ac13-d1a4ab732c2b.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA,PUSIAN,TPS 002,218,219,3,128,77,https://sirekap-obj-formc.kpu.go.id/5e77/pemilu/ppwp/71/01/33/20/04/7101332004002-20240216-133235--7237c385-f8a5-4ea3-bee5-f6da2d0f0944.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA BARAT,IKHWAN,TPS 004,230,232,74,103,8,https://sirekap-obj-formc.kpu.go.id/50d2/pemilu/ppwp/71/01/09/20/03/7101092003004-20240216-203047--4ff7889f-e24b-477f-a19b-4a1ef06805f7.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA BARAT,IKHWAN,TPS 008,190,191,5,153,12,https://sirekap-obj-formc.kpu.go.id/38c9/pemilu/ppwp/71/01/09/20/03/7101092003008-20240216-211134--0e724982-42c6-4243-b6fa-ecfe1ccc055e.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA BARAT,MEKARUO,TPS 001,89,91,10,164,15,https://sirekap-obj-formc.kpu.go.id/04ea/pemilu/ppwp/71/01/09/20/11/7101092011001-20240214-190451--76aa4005-5f63-47af-b05e-9dfc85e75e49.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA BARAT,UUAN,TPS 003,227,227,0,238,59,https://sirekap-obj-formc.kpu.go.id/2b07/pemilu/ppwp/71/01/09/20/02/7101092002003-20240216-202416--b6f1707f-ffb7-41ba-b7c4-d2f9acda255d.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA TENGAH,KOSIO,TPS 002,197,197,18,178,27,https://sirekap-obj-formc.kpu.go.id/a329/pemilu/ppwp/71/01/35/20/04/7101352004002-20240215-235200--204e975e-987e-4823-ac95-3a3ee1370f3d.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA TENGAH,WERDHI AGUNG TIMUR,TPS 002,189,191,7,140,41,https://sirekap-obj-formc.kpu.go.id/7832/pemilu/ppwp/71/01/35/20/10/7101352010002-20240216-072627--5962c258-7e54-4df5-ac36-a6b3042141f9.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA TENGGARA,OSION,TPS 003,170,172,24,148,8,https://sirekap-obj-formc.kpu.go.id/6715/pemilu/ppwp/71/01/34/20/08/7101342008003-20240214-194117--276a67bc-7517-4c6a-94e7-4dac9bcc1497.jpg
SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA TIMUR,AMERTHA BUANA,TPS 002,188,189,93,154,31,https://sirekap-obj-formc.kpu.go.id/9536/pemilu/ppwp/71/01/10/20/21/7101102021002-20240216-134909--0995cb09-c8b4-42e6-94a7-bfecefc039d5.jpg
